time,s1,s2,v1,v2,a1,a2,extra_info
8.46,3.58,7.16,0.85,1.69,0.1,0.2,info8.46
8.48,3.6,7.19,0.85,1.7,0.1,0.2,info8.48
8.5,3.61,7.23,0.85,1.7,0.1,0.2,info8.5
8.52,3.63,7.26,0.85,1.7,0.1,0.2,info8.52
8.54,3.65,7.29,0.85,1.71,0.1,0.2,info8.54
8.56,3.66,7.33,0.86,1.71,0.1,0.2,info8.56
8.58,3.68,7.36,0.86,1.72,0.1,0.2,info8.58
8.6,3.7,7.4,0.86,1.72,0.1,0.2,info8.6
8.62,3.72,7.43,0.86,1.72,0.1,0.2,info8.62
8.64,3.73,7.46,0.86,1.73,0.1,0.2,info8.64
8.66,3.75,7.5,0.87,1.73,0.1,0.2,info8.66
8.68,3.77,7.53,0.87,1.74,0.1,0.2,info8.68
8.7,3.78,7.57,0.87,1.74,0.1,0.2,info8.7
8.72,3.8,7.6,0.87,1.74,0.1,0.2,info8.72
8.74,3.82,7.64,0.87,1.75,0.1,0.2,info8.74
8.76,3.84,7.67,0.88,1.75,0.1,0.2,info8.76
8.78,3.85,7.71,0.88,1.76,0.1,0.2,info8.78
8.8,3.87,7.74,0.88,1.76,0.1,0.2,info8.8
8.82,3.89,7.78,0.88,1.76,0.1,0.2,info8.82
8.84,3.91,7.81,0.88,1.77,0.1,0.2,info8.84
8.86,3.92,7.85,0.89,1.77,0.1,0.2,info8.86
8.88,3.94,7.89,0.89,1.78,0.1,0.2,info8.88
8.9,3.96,7.92,0.89,1.78,0.1,0.2,info8.9
8.92,3.98,7.96,0.89,1.78,0.1,0.2,info8.92
8.94,4.0,7.99,0.89,1.79,0.1,0.2,info8.94
8.96,4.01,8.03,0.9,1.79,0.1,0.2,info8.96
8.98,4.03,8.06,0.9,1.8,0.1,0.2,info8.98
9.0,4.05,8.1,0.9,1.8,0.1,0.2,info9.0
9.02,4.07,8.14,0.9,1.8,0.1,0.2,info9.02
9.04,4.09,8.17,0.9,1.81,0.1,0.2,info9.04
9.06,4.1,8.21,0.91,1.81,0.1,0.2,info9.06
9.08,4.12,8.24,0.91,1.82,0.1,0.2,info9.08
9.1,4.14,8.28,0.91,1.82,0.1,0.2,info9.1
9.12,4.16,8.32,0.91,1.82,0.1,0.2,info9.12
9.14,4.18,8.35,0.91,1.83,0.1,0.2,info9.14
9.16,4.2,8.39,0.92,1.83,0.1,0.2,info9.16
9.18,4.21,8.43,0.92,1.84,0.1,0.2,info9.18
9.2,4.23,8.46,0.92,1.84,0.1,0.2,info9.2
9.22,4.25,8.5,0.92,1.84,0.1,0.2,info9.22
9.24,4.27,8.54,0.92,1.85,0.1,0.2,info9.24
9.26,4.29,8.57,0.93,1.85,0.1,0.2,info9.26
9.28,4.31,8.61,0.93,1.86,0.1,0.2,info9.28
9.3,4.32,8.65,0.93,1.86,0.1,0.2,info9.3
9.32,4.34,8.69,0.93,1.86,0.1,0.2,info9.32
9.34,4.36,8.72,0.93,1.87,0.1,0.2,info9.34
9.36,4.38,8.76,0.94,1.87,0.1,0.2,info9.36
9.38,4.4,8.8,0.94,1.88,0.1,0.2,info9.38
9.4,4.42,8.84,0.94,1.88,0.1,0.2,info9.4
9.42,4.44,8.87,0.94,1.88,0.1,0.2,info9.42
9.44,4.46,8.91,0.94,1.89,0.1,0.2,info9.44
9.46,4.47,8.95,0.95,1.89,0.1,0.2,info9.46
9.48,4.49,8.99,0.95,1.9,0.1,0.2,info9.48
9.5,4.51,9.03,0.95,1.9,0.1,0.2,info9.5
9.52,4.53,9.06,0.95,1.9,0.1,0.2,info9.52
9.54,4.55,9.1,0.95,1.91,0.1,0.2,info9.54
9.56,4.57,9.14,0.96,1.91,0.1,0.2,info9.56
9.58,4.59,9.18,0.96,1.92,0.1,0.2,info9.58
9.6,4.61,9.22,0.96,1.92,0.1,0.2,info9.6
9.62,4.63,9.25,0.96,1.92,0.1,0.2,info9.62
9.64,4.65,9.29,0.96,1.93,0.1,0.2,info9.64
9.66,4.67,9.33,0.97,1.93,0.1,0.2,info9.66
9.68,4.69,9.37,0.97,1.94,0.1,0.2,info9.68
9.7,4.7,9.41,0.97,1.94,0.1,0.2,info9.7
9.72,4.72,9.45,0.97,1.94,0.1,0.2,info9.72
9.74,4.74,9.49,0.97,1.95,0.1,0.2,info9.74
9.76,4.76,9.53,0.98,1.95,0.1,0.2,info9.76
9.78,4.78,9.56,0.98,1.96,0.1,0.2,info9.78
9.8,4.8,9.6,0.98,1.96,0.1,0.2,info9.8
9.82,4.82,9.64,0.98,1.96,0.1,0.2,info9.82
9.84,4.84,9.68,0.98,1.97,0.1,0.2,info9.84
9.86,4.86,9.72,0.99,1.97,0.1,0.2,info9.86
9.88,4.88,9.76,0.99,1.98,0.1,0.2,info9.88
9.9,4.9,9.8,0.99,1.98,0.1,0.2,info9.9
9.92,4.92,9.84,0.99,1.98,0.1,0.2,info9.92
9.94,4.94,9.88,0.99,1.99,0.1,0.2,info9.94
9.96,4.96,9.92,1.0,1.99,0.1,0.2,info9.96
9.98,4.98,9.96,1.0,2.0,0.1,0.2,info9.98
10.0,5.0,10.0,1.0,2.0,0.1,0.2,info10.0
